CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,Rain,Radn,MaxT,MinT,Yieldkgha,NutrientStress,TempStress,WaterStress,SimulationName,id_trial
1,1,Field,2002-01-01 12:00:00,2002,1,,1,0,4.115862846374512,-11.380000114440918,-21.440000534057617,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-02 12:00:00,2002,2,,1,0,4.121362686157227,-11.779999732971191,-21.719999313354492,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-03 12:00:00,2002,3,,1,0,4.440340518951416,-6.03000020980835,-17.469999313354492,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-04 12:00:00,2002,4,,1,0,4.657814979553223,-0.15000000596046448,-13.050000190734863,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-05 12:00:00,2002,5,,1,0,4.0474772453308105,-0.03999999910593033,-9.59000015258789,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-06 12:00:00,2002,6,,1,0,4.749573707580566,-4.53000020980835,-17.09000015258789,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-07 12:00:00,2002,7,,1,0,5.150905132293701,2.2200000286102295,-14.180000305175781,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-08 12:00:00,2002,8,,1,0,4.472867488861084,7.789999961853027,-3.450000047683716,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-09 12:00:00,2002,9,,1,0,2.442552089691162,5.75,0.8199999928474426,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-10 12:00:00,2002,10,,1,0,2.089235782623291,3.049999952316284,-1,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-11 12:00:00,2002,11,,1,0,3.2427656650543213,3.0199999809265137,-3.4600000381469727,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-12 12:00:00,2002,12,,1,0,3.86977219581604,3.130000114440918,-4.820000171661377,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-13 12:00:00,2002,13,,1,0,2.957824468612671,0.10000000149011612,-5.46999979019165,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-14 12:00:00,2002,14,,1,0.6100000143051147,3.4955365657806396,-3.0199999809265137,-8.850000381469727,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-15 12:00:00,2002,15,,1,0,4.198448657989502,-7.420000076293945,-14.460000038146973,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-16 12:00:00,2002,16,,1,0,5.255992412567139,-5.03000020980835,-14.569999694824219,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-17 12:00:00,2002,17,,1,0,4.343275547027588,-9.649999618530273,-16.68000030517578,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-18 12:00:00,2002,18,,1,0,6.762215614318848,-7.400000095367432,-23.829999923706055,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-19 12:00:00,2002,19,,1,0,6.730062961578369,-4.960000038146973,-20.059999465942383,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-20 12:00:00,2002,20,,1,1.350000023841858,5.759490489959717,-7.989999771118164,-17.8799991607666,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-21 12:00:00,2002,21,,1,0,6.414514541625977,-2.680000066757202,-14.670000076293945,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-22 12:00:00,2002,22,,1,0,4.424349308013916,-9.75,-16.260000228881836,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-23 12:00:00,2002,23,,1,0,3.3500003814697266,-14.489999771118164,-19.110000610351563,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-24 12:00:00,2002,24,,1,0,6.785027980804443,-7.929999828338623,-19.889999389648438,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-25 12:00:00,2002,25,,1,0,7.668316841125488,2.9600000381469727,-14.979999542236328,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-26 12:00:00,2002,26,,1,0,6.263239860534668,-6.369999885559082,-15.9399995803833,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-27 12:00:00,2002,27,,1,0,3.868438243865967,-12.600000381469727,-17.600000381469727,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-28 12:00:00,2002,28,,1,0,3.34437894821167,-16.81999969482422,-20.979999542236328,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-29 12:00:00,2002,29,,1,0,4.7737650871276855,-15.979999542236328,-22.049999237060547,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-30 12:00:00,2002,30,,1,0,7.511842727661133,-11.319999694824219,-22.950000762939453,0,0.3,0,1,Simulation,36
1,1,Field,2002-01-31 12:00:00,2002,31,,1,0,7.858209609985352,-9.949999809265137,-22.43000030517578,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-01 12:00:00,2002,32,,1,0,8.198836326599121,-10.25,-23.700000762939453,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-02 12:00:00,2002,33,,1,0,8.726200103759766,-3.130000114440918,-19.270000457763672,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-03 12:00:00,2002,34,,1,0,7.526933670043945,-10.5600004196167,-20.920000076293945,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-04 12:00:00,2002,35,,1,0,9.350305557250977,-3.4700000286102295,-22.770000457763672,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-05 12:00:00,2002,36,,1,0,9.325905799865723,0.3400000035762787,-16.979999542236328,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-06 12:00:00,2002,37,,1,0,9.49820613861084,6.190000057220459,-11.390000343322754,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-07 12:00:00,2002,38,,1,0,8.95658016204834,7.159999847412109,-6.53000020980835,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-08 12:00:00,2002,39,,1,0,6.54889440536499,-0.25,-8.130000114440918,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-09 12:00:00,2002,40,,1,0,6.368297576904297,-2.3399999141693115,-9.829999923706055,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-10 12:00:00,2002,41,,1,0,8.84611701965332,-1.4800000190734863,-13.4399995803833,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-11 12:00:00,2002,42,,1,0,10.033320426940918,8.210000038146973,-7.78000020980835,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-12 12:00:00,2002,43,,1,0,8.202150344848633,-0.8500000238418579,-11.069999694824219,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-13 12:00:00,2002,44,,1,0,10.323572158813477,6.349999904632568,-9.609999656677246,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-14 12:00:00,2002,45,,1,0,7.741814613342285,4.199999809265137,-5.110000133514404,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-15 12:00:00,2002,46,,1,0,7.78612756729126,4.340000152587891,-4.789999961853027,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-16 12:00:00,2002,47,,1,0,8.773054122924805,5.179999828338623,-5.429999828338623,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-17 12:00:00,2002,48,,1,0,10.68976879119873,8.4399995803833,-6.130000114440918,0,0.3,0,1,Simulation,36
1,1,Field,2002-02-18 12:00:00,2002,49,,1,0,9.672740936279297,7.300000190734863,-4.199999809265137,0,0.3,0,1,Simulation,36
